Feature	Importance
mcaja_ahorro_lag1	4055.474487453699
ctarjeta_visa_transacciones_delta1	3952.765772509575
mttarjeta_visa_debitos_automaticos_ranked_delta1	3950.8611058354377
mcuenta_corriente_ranked_delta2	3887.2097117125986
mtransferencias_emitidas_ranked_delta1	3811.9650414168837
ccajas_consultas	3714.6692538678644
mtransferencias_recibidas_lag1	3699.210234439373
mcomisiones_otras_ranked_lag1	3697.460212510824
chomebanking_transacciones_delta2	3623.99927187562
Master_mfinanciacion_limite_lag1	3616.8954623699187
mcomisiones_otras_lag1	3615.3480928361414
Visa_mconsumospesos_ranked_delta1	3586.564402145147
Visa_mpagospesos_ranked_delta1	3557.418329721689
mprestamos_personales_ranked_delta1	3546.1440106749533
Visa_mlimitecompra_ranked_delta1	3511.2796489357947
Visa_mpagominimo_delta1	3510.346579283476
mcomisiones_delta1	3507.1125454247
ccomisiones_otras_lag1	3495.4756647884847
mcomisiones_ranked_delta2	3478.6082622826098
Master_msaldopesos	3437.6341054320337
mcuentas_saldo_ranked_delta2	3435.92902584672
Master_mfinanciacion_limite_ranked_lag1	3391.2353460967543
Visa_mfinanciacion_limite_lag1	3304.0090173482895
mextraccion_autoservicio	3266.869836050272
mtransferencias_recibidas_ranked_lag1	3249.21656139493
Visa_mfinanciacion_limite_ranked_lag1	3241.8795405805113
Visa_cconsumos_lag1	3241.024388128519
ctarjeta_visa_debitos_automaticos	3213.527293586731
Visa_msaldopesos_ranked_delta1	3119.793857908249
ctarjeta_visa_transacciones_lag1	3086.3415869653227
mtransferencias_recibidas_delta1	3079.5502748608587
Master_fultimo_cierre	3076.0449094712735
cpagomiscuentas	3057.351510888338
mcomisiones_lag1	3053.111655396223
mttarjeta_visa_debitos_automaticos_lag1	3032.0620182693006
ccajas_transacciones	3016.1968752503394
cmobile_app_trx	3004.708844947815
mtarjeta_visa_consumo_delta1	3002.014187502861
internet_lag1	2979.7594249129297
matm	2970.463900578022
Visa_mpagospesos_delta1	2968.8084651350973
Master_msaldopesos_ranked	2952.2227468550204
mprestamos_personales_delta1	2945.9163672327995
Visa_msaldototal_ranked_delta1	2913.7957714736463
mrentabilidad_annual_lag2	2801.0329207539558
Master_msaldototal	2769.5132530629635
ccomisiones_mantenimiento_delta2	2737.8376885056496
mcomisiones_mantenimiento_delta1	2733.941502279043
ccallcenter_transacciones_delta1	2733.5193771719933
cliente_edad_lag2	2721.5334694743156
Visa_mconsumospesos_delta1	2697.467264312506
Master_mlimitecompra	2614.7357046961783
mcaja_ahorro_ranked_delta2	2613.5538592219355
mcomisiones_mantenimiento_ranked_delta2	2611.930793517828
mrentabilidad_annual_ranked_delta2	2605.3418338894844
Visa_fultimo_cierre	2597.439241909981
mrentabilidad_ranked_delta2	2593.737710189819
Visa_mlimitecompra	2571.110283023119
tmobile_app_delta1	2560.369953995943
Visa_mpagominimo_lag1	2554.333969247341
Visa_cconsumos_delta1	2550.5446926772593
mpasivos_margen_ranked_delta2	2538.978433817625
mcuenta_corriente_delta2	2537.054547971487
mcaja_ahorro_dolares_lag1	2517.6015172302723
mpayroll_norm_ranked_delta1	2504.628557997942
mplazo_fijo_dolares	2487.167996561527
Master_msaldototal_ranked	2474.3756756305693
mcomisiones_ranked_lag1	2441.006427526474
Visa_mpagospesos_lag1	2436.5259787142277
mactivos_margen_ranked_delta2	2435.056092554331
mttarjeta_visa_debitos_automaticos_delta1	2418.342877757549
cproductos_delta2	2349.8656328082084
mcuentas_saldo_lag2	2332.9586873829367
Visa_mpagominimo_ranked_lag1	2288.937244141102
mrentabilidad_annual_delta2	2287.6944100260735
ctarjeta_debito_transacciones_delta1	2284.615958738327
mautoservicio_delta1	2268.1578730642796
mcomisiones_otras_delta1	2261.253283882141
Visa_mpagado	2223.416752064228
Visa_mpagado_ranked	2220.57326567173
ctransferencias_recibidas_delta1	2162.2309282004835
mcuentas_saldo_delta2	2158.017368620634
mpayroll_lag1	2109.277003377676
Visa_mconsumospesos_ranked_lag1	2108.999981564283
ccajas_consultas_delta1	2100.8180567502977
chomebanking_transacciones_lag2	2074.406153923273
mextraccion_autoservicio_ranked	2065.5646020531653
mtransferencias_emitidas_lag1	2059.174000144005
ctarjeta_debito_lag1	2056.4941989839076
